Date,Price,Open,High,Low,Vol.,Change %
02/26/2015,3988.89,3986.05,3995.5,3975.07,,0.07%
02/25/2015,3986.05,3987.49,4005.76,3970.81,,-0.04%
02/24/2015,3987.49,4024.08,4037.87,3984.16,,-0.91%
02/23/2015,4024.08,3994.14,4035.74,3991.68,,0.75%
02/20/2015,3994.14,3996.13,4000.7,3986.07,,-0.05%
02/19/2015,3996.13,3990.16,4003.07,3989.76,,0.15%
02/18/2015,3990.16,3983.54,3992.17,3977.66,,0.17%
02/17/2015,3983.54,3994.28,3995.98,3974.54,,-0.26%
02/16/2015,3994.03,3983.27,4003.15,3982.62,,0.27%
02/13/2015,3983.27,3963.81,3993.12,3962.94,,0.49%
02/12/2015,3963.81,3920.45,3976.36,3920.45,,1.11%
02/11/2015,3920.45,3905.48,3933.64,3903.56,,0.38%
02/10/2015,3905.48,3923.71,3932.08,3900.3,,-0.46%
02/09/2015,3923.71,3951.17,3954.47,3918.53,,-0.69%
02/06/2015,3951.17,3931.16,3963.02,3931.16,,0.51%
02/05/2015,3931.16,3917.29,3957,3913.24,,0.35%
02/04/2015,3917.29,3915.34,3924.99,3911.93,,0.05%
02/03/2015,3915.34,3861.55,3918.16,3860.32,,1.39%
02/02/2015,3861.55,3836.33,3864.88,3832.45,,0.65%
01/30/2015,3836.73,3839.79,3846.68,3808.71,,-0.08%
01/29/2015,3839.79,3845.37,3847.96,3829.44,,-0.15%
01/28/2015,3845.37,3852.71,3867.22,3838.98,,-0.19%
01/27/2015,3852.71,3837.62,3857.61,3814.83,,0.39%
01/26/2015,3837.62,3862.85,3863.82,3822.03,,-0.58%
01/23/2015,3859.89,3865.59,3900.74,3838.56,,-0.15%
01/22/2015,3865.59,3806.04,3867.33,3801.93,,1.56%
01/21/2015,3806.04,3748.76,3811.33,3748.76,,1.53%
01/20/2015,3748.76,3733.46,3756.53,3733.24,,0.41%
01/19/2015,3733.46,3729.91,3736.03,3726.03,,0.10%
01/16/2015,3729.91,3729.39,3750.65,3725.67,,0.01%
01/15/2015,3729.39,3749.1,3764.31,3726.5,,-0.53%
01/14/2015,3749.1,3786.57,3791.16,3745.14,,-0.99%
01/13/2015,3786.57,3779.32,3814.64,3777.26,,0.19%
01/12/2015,3779.32,3784.65,3789.45,3774.75,,-0.10%
01/09/2015,3783.06,3785.57,3797.24,3777.92,,-0.07%
01/08/2015,3785.57,3778.53,3804.56,3778.53,,0.24%
01/07/2015,3776.65,3776.64,3794.15,3775.65,,0.00%
01/06/2015,3776.64,3797.99,3805.21,3774.7,,-0.56%
01/05/2015,3797.99,3852.11,3859.12,3793.9,,-1.38%
01/02/2015,3851.23,3852.21,3861.85,3843.48,,0.01%
12/30/2014,3850.96,3854.41,3855.96,3842.91,,-0.09%
12/29/2014,3854.41,3818.48,3865.91,3818.48,,0.94%
12/26/2014,3818.48,3812.14,3833.22,3809.45,,0.17%
12/24/2014,3812.14,3820.71,3823.61,3804.87,,-0.22%
12/23/2014,3820.58,3798.88,3824.62,3790.17,,0.58%
12/22/2014,3798.47,3810.23,3811.68,3789.26,,-0.31%
12/19/2014,3810.23,3808.53,3827.69,3794.23,,0.04%
12/18/2014,3808.53,3779.55,3845,3779.55,,0.78%
12/17/2014,3779.19,3751.51,3819.47,3751.5,,0.74%
12/16/2014,3751.51,3752.89,3772.91,3717.22,,-0.04%
12/15/2014,3752.89,3802.56,3815.61,3738.83,,-1.31%
12/12/2014,3802.56,3825.33,3834.89,3802.36,,-0.60%
